ID,Months_On_Book,Credit_Limit,Opening_Balance,Ending_Balance,Over_limit_Amount,Actual_Min_Pay_Due,Total_Min_Pay_Due,Net_Payments_During_Cycle,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Net_Fees,Net_Behavior_Fees_Billed_During,Net_Concessions_Billed_During_Cy,Score1,Score2,Utility,Bad
A245,99,550,524,519,0,25,25,50,30,0,6,9,0,1.904903712,722,0.944290909,0
A246,97,300,340,278,0,20,20,75,0,0,6,7,0,440.0472009,760,0.926733333,0
A247,99,350,0,0,0,0,0,6,0,0,6,0,0,971.4309338,995,0,0
A248,99,"1,100","1,068","1,069",0,33,33,35,3,0,15,18,0,942.3302631,699,0.971690909,0
A249,99,400,93,75,0,20,20,25,0,0,6,1,0,916.582269,942,0.188025,0
A250,99,350,38,19,0,19,19,25,0,0,6,1,0,713.8856668,970,0.054857143,0
A251,99,550,376,340,0,25,25,50,0,0,6,8,0,246.3096855,767,0.618145455,0
A252,99,475,444,459,0,20,20,20,21,0,6,8,0,50.25178688,709,0.966273684,0
A253,99,350,273,283,0,25,25,50,49,0,6,5,0,24.49807385,715,0.809057143,0
A254,98,250,327,288,38,20,58,50,0,0,6,5,0,441.4838345,680,1.15156,0
A255,99,400,345,243,0,20,20,60,-53,0,6,5,0,317.2410115,821,0.60815,0
A256,99,400,405,408,8,20,28,40,30,0,6,7,0,243.9254512,701,1.01935,0
A257,99,300,72,36,0,25,25,72,30,0,6,0,0,475.9942061,1000,0.118366667,0
A258,98,400,391,374,0,20,20,30,0,0,6,6,0,532.503765,716,0.933925,0
A259,88,250,210,6,0,6,6,210,0,0,6,0,0,940.2100473,966,0.024,0
A260,98,350,89,17,0,17,17,89,0,0,17,0,0,616.919918,928,0.048571429,0
A261,84,300,6,54,0,20,20,6,0,0,54,0,0,240.2260442,939,0.18,0
A262,98,350,339,330,0,20,20,20,0,0,6,6,0,214.7983265,718,0.943971429,0
A263,98,675,577,567,0,20,20,30,0,0,6,14,0,429.94741,743,0.839985185,0
A264,98,400,6,31,0,25,25,140,159,0,6,0,0,459.2296108,975,0.078325,0
A265,98,400,56,37,0,25,25,25,0,0,6,1,0,476.1874002,956,0.093575,0
A266,98,850,758,781,0,24,24,125,130,0,6,13,0,631.2440014,729,0.918458824,0
A267,98,600,372,284,0,20,20,100,0,0,6,5,0,835.5434297,913,0.472833333,0
A268,98,400,304,295,0,20,20,20,0,0,6,5,0,222.823736,774,0.738625,0
A269,98,400,317,387,0,20,20,47,106,0,6,5,0,502.3154314,718,0.967925,0
A270,98,450,283,210,0,20,20,83,0,0,6,4,0,256.8115013,,0.466622222,0
A271,97,350,359,325,0,20,20,80,34,0,6,6,0,859.8106095,,0.929885714,0
A272,98,750,712,482,0,20,20,300,53,0,6,11,0,849.8746817,990,0.642946667,0
A273,88,750,516,540,0,20,20,100,106,0,6,12,0,663.9337367,783,0.719533333,0
A274,97,250,202,205,0,20,20,80,72,0,6,4,0,854.8290034,742,0.81832,0
A275,97,600,198,423,0,20,20,50,263,0,6,6,0,762.8286603,787,0.704666667,0
A276,97,750,715,693,0,21,21,40,0,0,6,12,0,727.9410065,716,0.923893333,0
A277,97,450,484,439,0,25,25,59,0,0,6,8,0,156.9527635,715,0.974733333,0
A278,97,450,372,357,0,25,25,30,0,0,9,6,0,850.0122614,755,0.792822222,0
A279,97,450,241,240,0,20,20,60,49,0,6,4,0,345.2440492,829,0.532711111,0
A280,97,450,342,382,0,20,20,20,0,0,54,6,0,653.6419912,742,0.849155556,0
A281,97,400,-47,2,0,2,2,50,45,0,54,0,0,894.4047216,758,0.005,0
A282,97,400,116,265,0,20,20,25,116,0,54,4,0,556.5085354,773,0.661375,0
A283,89,250,175,193,0,20,20,96,106,0,6,2,0,787.7342021,774,0.77236,0
A284,96,675,319,348,0,20,20,50,0,0,74,5,0,842.3936962,823,0.515496296,0
A285,95,250,-12,-6,0,0,0,0,0,0,6,0,0,201.8521541,986,-0.024,0
A286,96,350,329,380,30,25,55,29,20,0,54,6,0,250.5782267,681,1.085085714,0
A287,96,400,77,54,0,20,20,77,0,0,54,0,0,191.7407767,957,0.135,0
A288,96,550,6,54,0,25,25,169,163,0,54,0,0,154.0546954,909,0.098654546,0
A289,96,450,359,321,0,25,25,50,0,0,6,6,0,846.2382065,752,0.712622222,0
A290,96,450,303,430,0,20,20,30,94,0,54,10,0,990.3421391,707,0.955311111,0
A291,96,425,465,375,0,20,20,100,7,0,26,6,29,363.7261779,732,0.883176471,0
A292,96,450,312,469,19,20,39,20,116,0,55,6,0,396.4020804,696,1.041266667,0
